Stela    | Mineva   | Java
Yasen    | Ivanov   | C#
Stefka   | Nikolova | SQL
Miroslav | Tsenov   | SQL
Milena   | Petrova  | C#
Asya     | Yankova  | SQL
Ivan     | Grigorov | C#
Ivan     | Kolev    | Java
Vanya    | Angelova | Java
Todor    | Georgiev | SQL
Maria    | Mineva   | JavaScript
Yasen    | Yasenov   | HTML&CSS
Stefka   | Stefanova | PHP
Petar | Galabov   | JavaScript
Milena   | Pesheva  | C#
Penka     | Yankova  | PHP
Ivan     | Dimitrov | JavaScript
Georgi     | Kolev    | PHP
Vanya    | Gramatikova | Java
Gencho    | Georgiev | JavaScript
